"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Maldives","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Malaysia","1978M04",0,16
" "," ","1978M05",24,12
" "," ","1978M06",8,8
" "," ","1978M07",4,4
" ","Nepal","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Philippines","1978M04",12,8
" "," ","1978M05",8,4
" "," ","1978M06",0,12
" "," ","1978M07",0,0
" ","Pakistan","1978M04",0,4
" "," ","1978M05",4,0
" "," ","1978M06",4,4
" "," ","1978M07",0,4
" ","Singapore","1978M04",20,32
" "," ","1978M05",360,368
" "," ","1978M06",24,28
" "," ","1978M07",28,52
" ","Thailand","1978M04",0,0
" "," ","1978M05",0,4
" "," ","1978M06",8,0
" "," ","1978M07",12,4
" ","Tajikistan","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Timor-Leste","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Turkmenistan","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Taiwan","1978M04",0,0
" "," ","1978M05",0,4
" "," ","1978M06",0,0
" "," ","1978M07",0,4
" ","Uzbekistan","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Viet Nam","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","EUROPE","1978M04",204,1072
" "," ","1978M05",236,1376
" "," ","1978M06",156,1092
" "," ","1978M07",288,912
" ","Andorra","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Albania","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Austria","1978M04",4,0
" "," ","1978M05",0,0
" "," ","1978M06",4,4
" "," ","1978M07",0,0
" ","Bosnia and Herzegovina","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Belgium","1978M04",0,4
" "," ","1978M05",0,0
" "," ","1978M06",0,4
" "," ","1978M07",0,0
" ","Bulgaria","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Belarus","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Switzerland","1978M04",4,8
" "," ","1978M05",0,24
" "," ","1978M06",0,0
" "," ","1978M07",0,4
" ","Czechoslovakia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Cyprus","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Czech Republic","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Germany, Democratic Republic of","1978M04",0,0
" "," ","1978M05",0,4
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Germany","1978M04",8,4
" "," ","1978M05",0,12
" "," ","1978M06",8,12
" "," ","1978M07",4,4
" ","Denmark","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",8,4
" ","Estonia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Spain","1978M04",0,4
" "," ","1978M05",4,0
" "," ","1978M06",0,12
" "," ","1978M07",0,0
" ","Finland","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Faeroe Islands","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","France","1978M04",0,4
" "," ","1978M05",4,0
" "," ","1978M06",4,4
" "," ","1978M07",4,4
" ","United Kingdom","1978M04",188,988
" "," ","1978M05",216,1256
" "," ","1978M06",140,992
" "," ","1978M07",264,844
" ","Gibraltar","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Greenland","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Greece","1978M04",0,0
" "," ","1978M05",0,12
" "," ","1978M06",0,4
" "," ","1978M07",4,20
" ","Croatia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Hungary","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Ireland","1978M04",0,4
" "," ","1978M05",0,12
" "," ","1978M06",0,0
" "," ","1978M07",0,8
" ","Iceland","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Italy","1978M04",0,4
" "," ","1978M05",0,4
" "," ","1978M06",0,8
" "," ","1978M07",0,4
" ","Kosovo","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Liechtenstein","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Lithuania","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Luxembourg","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Latvia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Monaco","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Moldova","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Montenegro","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Former Yugoslav Republic of Macedonia (FYROM)","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Malta","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,4
" "," ","1978M07",0,0
" ","Netherlands","1978M04",0,40
" "," ","1978M05",8,40
" "," ","1978M06",0,44
" "," ","1978M07",0,12
" ","Norway","1978M04",0,0
" "," ","1978M05",0,4
" "," ","1978M06",0,4
" "," ","1978M07",0,4
" ","Poland","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Portugal","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Romania","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,4
" ","Serbia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Russia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Sweden","1978M04",0,4
" "," ","1978M05",4,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Slovenia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Slovakia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","San Marino","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Union of Soviet Socialist Republics","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",4,0
" ","Ukraine","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Vatican City State","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Yugoslavia/Serbia and Montenegro","1978M04",0,8
" "," ","1978M05",0,8
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","AMERICAS","1978M04",24,248
" "," ","1978M05",60,188
" "," ","1978M06",56,188
" "," ","1978M07",136,336
" ","Antigua and Barbuda","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Anguilla","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Netherlands Antilles","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Argentina","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Aruba","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Barbados","1978M04",0,0
" "," ","1978M05",0,4
" "," ","1978M06",0,0
" "," ","1978M07",0,4
" ","Bermuda","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",4,0
" ","Bolivia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Brazil","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",4,0
" ","Bahamas","1978M04",0,0
" "," ","1978M05",4,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Belize","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Canada","1978M04",4,112
" "," ","1978M05",32,36
" "," ","1978M06",8,76
" "," ","1978M07",12,60
" ","Chile","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Colombia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,4
" ","Costa Rica","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Cuba","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Curacao","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Dominica","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Dominican Republic","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Ecuador","1978M04",0,8
" "," ","1978M05",0,0
" "," ","1978M06",4,0
" "," ","1978M07",0,0
" ","Falkland Islands","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Grenada","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","French Guiana","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Guadeloupe","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","South Georgia and the South Sandwich Islands","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Guatemala","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Guyana","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Honduras","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Haiti","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Jamaica","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","St Kitts and Nevis","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Cayman Islands","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","St Lucia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Martinique","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Montserrat","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Mexico","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,4
" "," ","1978M07",0,4
" ","Nicaragua","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Panama","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Peru","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","St Pierre and Miquelon","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Puerto Rico","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Paraguay","1978M04",0,0
" "," ","1978M05",4,4
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Suriname","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","El Salvador","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","St Maarten (Dutch Part)","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Turks and Caicos Islands","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Trinidad and Tobago","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","United States Minor Outlying Islands","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","United States of America","1978M04",16,128
" "," ","1978M05",20,144
" "," ","1978M06",40,108
" "," ","1978M07",116,264
" ","Uruguay","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",4,0
" "," ","1978M07",0,0
" ","St Vincent and the Grenadines","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Venezuela","1978M04",4,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Virgin Islands, British","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Virgin Islands, United States","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","AFRICA AND THE MIDDLE EAST","1978M04",28,64
" "," ","1978M05",44,68
" "," ","1978M06",28,24
" "," ","1978M07",20,40
" ","United Arab Emirates","1978M04",0,0
" "," ","1978M05",4,0
" "," ","1978M06",8,0
" "," ","1978M07",4,12
" ","Angola","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Burkina Faso","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Bahrain","1978M04",0,0
" "," ","1978M05",0,12
" "," ","1978M06",0,4
" "," ","1978M07",4,0
" ","Burundi","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Benin","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Botswana","1978M04",0,0
" "," ","1978M05",0,4
" "," ","1978M06",0,8
" "," ","1978M07",0,0
" ","Congo, the Democratic Republic of the","1978M04",0,0
" "," ","1978M05",0,4
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Central African Republic","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Congo","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Cote d'Ivoire","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Cameroon","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Cabo Verde","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Djibouti","1978M04",0,0
" "," ","1978M05",0,4
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Algeria","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Egypt","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Western Sahara","1978M04",0,0
" "," ","1978M05",0,4
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Eritrea","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Ethiopia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Gabon","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Ghana","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,4
" ","Gambia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Guinea","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Equatorial Guinea","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Guinea-Bissau","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Israel","1978M04",0,8
" "," ","1978M05",0,4
" "," ","1978M06",8,0
" "," ","1978M07",0,4
" ","British Indian Ocean Territory","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Iraq","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Iran","1978M04",4,12
" "," ","1978M05",12,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Jordan","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Kenya","1978M04",4,8
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Comoros","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Kuwait","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Lebanon","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Liberia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Lesotho","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Libya","1978M04",0,4
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Morocco","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Madagascar","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Mali","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Mauritania","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Mauritius","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Malawi","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Mozambique","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Namibia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Niger","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Nigeria","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,8
" ","Oman","1978M04",4,0
" "," ","1978M05",0,4
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Gaza Strip/Palestine/West Bank","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Qatar","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Reunion","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Rwanda","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
